Date,Site,Sub site,Compound Site,Sample Type,Year,Month,Day,Site Type,SRP ,NH4 ,TDN ,TDP ,Seston P,TP
5/9/12,SB,DWN,SB-DWN,s,2012,5,9,u,0.4486,5.331,23.243,0.306711209,,
3/22/12,SB,LAT,SB-LAT,s,2012,3,22,u,0,0.376,20.156,,,
3/30/12,SB,LAT,SB-LAT,s,2012,3,30,u,0.63271365,0.376,27.623,,,
4/6/12,SB,LAT,SB-LAT,s,2012,4,6,u,0.4559729,3.896,24.029,0.397110303,,
4/16/12,SB,LAT,SB-LAT,s,2012,4,16,u,0.87481125,4.502,28.086,0.781306449,,
4/26/12,SB,LAT,SB-LAT,s,2012,4,26,u,0.5670082,7.447,29.883,0.652164887,,
5/9/12,SB,LAT,SB-LAT,s,2012,5,9,u,1.1842733,5.424,28.585,0.306711209,,
3/22/12,SB,UP,SB-UP,s,2012,3,22,u,0.4497755,0.376,21.3,,,
3/30/12,SB,UP,SB-UP,s,2012,3,30,u,0.67224975,0.376,20.329,,,
4/6/12,SB,UP,SB-UP,s,2012,4,6,u,0.56019775,3.829,13.464,0.313168287,,
4/16/12,SB,UP,SB-UP,s,2012,4,16,u,0.751414,4.018,15.765,0.290568514,,
4/26/12,SB,UP,SB-UP,s,2012,4,26,u,1.40617075,7.244,20.154,0.503652091,,
5/9/12,SB,UP,SB-UP,s,2012,5,9,u,1.964441,5.478,32.32,0.655393426,,
3/22/12,SB,UP2,SB-UP2,s,2012,3,22,u,0.7186815,0.668,25.582,,,
6/18/12,BF,L,BF-L,sw,2012,6,18,m,1.531,2.024,47.043,0.674764661,,
7/17/12,BF,L,BF-L,sw,2012,7,17,m,1.881,6.38,84.85,1.023446877,,
8/20/12,BF,L,BF-L,sw,2012,8,20,m,0.996,6.25,46.806,0.694135895,,
9/30/12,BF,L,BF-L,sw,2012,9,30,m,0.201,6.43,54.494,0.497195013,5.20E-07,1.218445013
11/11/12,BF,L,BF-L,sw,2012,11,11,m,,,,,,
4/4/13,BF,L,BF-L,sw,2013,4,4,m,0.7977,0.786,48.502,1.417328641,,
5/15/13,BF,L,BF-L,sw,2013,5,15,m,0.201,5.571,44.875,0.564994333,,
6/11/13,BF,L,BF-L,sw,2013,6,11,m,0.5033,2.178,50.213,1.088017658,,
7/1/13,BF,L,BF-L,sw,2013,7,1,m,0.6293,0.822,45.946,0.978247331,,
8/5/13,BF,L,BF-L,sw,2013,8,5,m,0.6406,3.693,44.61,0.584365567,,
10/16/13,BF,L,BF-L,sw,2013,10,16,m,0.201,1.188,42.413,0.280882897,,
6/18/12,BF,M,BF-M,sw,2012,6,18,m,,,,,,
7/17/12,BF,M,BF-M,sw,2012,7,17,m,,,,,,
8/20/12,BF,M,BF-M,sw,2012,8,20,m,,,,,,
9/30/12,BF,M,BF-M,sw,2012,9,30,m,,,,,,
11/11/12,BF,M,BF-M,sw,2012,11,11,m,,,,,,
4/4/13,BF,M,BF-M,sw,2013,4,4,m,0.5505,0.863,27.622,0.936276323,,
5/15/13,BF,M,BF-M,sw,2013,5,15,m,1.6244,3.138,52.231,1.307558313,,
6/11/13,BF,M,BF-M,sw,2013,6,11,m,0.5745,1.491,56.075,1.110617432,,
7/1/13,BF,M,BF-M,sw,2013,7,1,m,0.5844,17.958,67.95,0.826505996,,
8/5/13,BF,M,BF-M,sw,2013,8,5,m,0.5719,3.211,67.95,4.103473127,,
10/16/13,BF,M,BF-M,sw,2013,10,16,m,0.3572,3.692,53.209,0.410024459,,
6/18/12,BF,U,BF-U,sw,2012,6,18,m,,,,,,
7/17/12,BF,U,BF-U,sw,2012,7,17,m,,,,,,
8/20/12,BF,U,BF-U,sw,2012,8,20,m,,,,,,
9/30/12,BF,U,BF-U,sw,2012,9,30,m,,,,,,
11/11/12,BF,U,BF-U,sw,2012,11,11,m,,,,,,
4/4/13,BF,U,BF-U,sw,2013,4,4,m,0.6907,1.147,27.03,1.242987533,,
5/15/13,BF,U,BF-U,sw,2013,5,15,m,3.4027,6.183,61.436,2.598973932,,
6/11/13,BF,U,BF-U,sw,2013,6,11,m,1.4553,1.54,32.172,1.875781185,,
7/1/13,BF,U,BF-U,sw,2013,7,1,m,,,,,,
8/5/13,BF,U,BF-U,sw,2013,8,5,m,,,,,,
10/16/13,BF,U,BF-U,sw,2013,10,16,m,4.7773,4.433,57.631,2.77331504,,
